time	inactive	active	F	W	F_bound	W_bound	IF_IFclustered	IW_IWclustered	IF_IWclustered	Sum	Experiment
8.565656565656566e-06	3.0335880120051744e-09	1.3468667450110956e-10	0.16235294624162266	0.29764706425638104	0.008713453234468512	0.014612631845834593	0.002429576534235264	0.006832928220905139	0.004074447455253906	0.04999999266936641	day18
8.727272727272726e-06	2.800839113626663e-09	1.2790159364432926e-10	0.16235294618427334	0.2976470640741964	0.008713453241738212	0.014612631886034679	0.0024295765458332706	0.006832928278455625	0.00407444748213751	0.04999999266936641	day18
8.888888888888888e-06	2.6343702966580277e-09	1.2304870543395112e-10	0.16235294615099896	0.2976470639361491	0.008713453243621157	0.014612631917738246	0.00242957655227899	0.006832928322377489	0.004074447500637524	0.0499999926693664	day18
9.05050505050505e-06	2.5156430344210714e-09	1.1958757593929758e-10	0.16235294613506573	0.297647063829894	0.008713453241624024	0.01461263194332177	0.002429576555013516	0.006832928356482652	0.004074447513098835	0.04999999266936641	day18
9.212121212121211e-06	2.4314925019814423e-09	1.1713442503916176e-10	0.16235294613169182	0.2976470637466642	0.00871345323681675	0.014612631964472865	0.002429576555060217	0.00683292838347809	0.00407444752118663	0.049999992669366417	day18
9.373737373737373e-06	2.372067580057034e-09	1.1540207354784192e-10	0.162352946137299	0.2976470636798998	0.00871345322999996	0.014612631982454355	0.002429576553184871	0.006832928405389404	0.0040744475261469465	0.04999999266936641	day18
9.535353535353535e-06	2.3295765011422085e-09	1.141633763544937e-10	0.16235294614905704	0.2976470636244119	0.008713453221806913	0.014612631998265077	0.002429576549993171	0.006832928423818752	0.004074447528965348	0.049999992669366417	day18
9.696969696969696e-06	2.2995559582390248e-09	1.1328821940493516e-10	0.16235294616534476	0.29764706357722853	0.008713453212600353	0.014612632012477186	0.002429576545832073	0.006832928439683888	0.004074447530206385	0.04999999266936641	day18
9.858585858585858e-06	2.277203442962105e-09	1.1263660029126265e-10	0.16235294618441773	0.2976470635351514	0.008713453202770595	0.014612632025706323	0.0024295765410749007	0.0068329284539723105	0.0040744475304775145	0.049999992669366417	day18
1.002020202020202e-05	2.2607856066925664e-09	1.121579886068324e-10	0.16235294620564633	0.2976470634970263	0.008713453192458509	0.014612632038174688	0.002429576535856396	0.006832928467040434	0.0040744475299979805	0.04999999266936641	day18
1.018181818181818e-05	2.248660022516244e-09	1.1180450438119129e-10	0.16235294622843405	0.29764706346175956	0.00871345318179758	0.014612632050092823	0.0024295765303042325	0.006832928479225977	0.004074447528975532	0.049999992669366417	day18
1.0343434343434343e-05	2.2399647319697085e-09	1.1155101982724779e-10	0.1623529462524677	0.2976470634287771	0.008713453170857864	0.014612632061571226	0.002429576524485415	0.006832928490706177	0.004074447527519194	0.04999999266936641	day18
1.0505050505050505e-05	2.233839099601167e-09	1.1137244578526994e-10	0.1623529462774348	0.29764706339750585	0.008713453159709304	0.01461263207272022	0.0024295765184668447	0.006832928501657999	0.004074447525737828	0.049999992669366417	day18
1.0666666666666666e-05	2.229660655075236e-09	1.1125063603277795e-10	0.16235294630310912	0.2976470633675312	0.008713453148402491	0.014612632083619598	0.00242957651229691	0.006832928512209437	0.004074447523710167	0.04999999266936641	day18
1.0828282828282828e-05	2.226665632193081e-09	1.1116332531623399e-10	0.1623529463292133	0.2976470633383446	0.0087134531369995	0.014612632094367275	0.0024295765060349823	0.006832928522517537	0.00407444752153282	0.04999999266936641	day18
1.098989898989899e-05	2.224523742837006e-09	1.1110088509279256e-10	0.1623529463556274	0.29764706330972623	0.008713453125527171	0.014612632105005586	0.002429576499706736	0.006832928532650214	0.00407444751924756	0.04999999266936641	day18
1.115151515151515e-05	2.222837910233188e-09	1.1105173980770447e-10	0.1623529463822071	0.2976470632814115	0.00871345311401778	0.014612632115585437	0.002429576493343039	0.006832928542689116	0.0040744475169046165	0.049999992669366417	day18
1.1313131313131313e-05	2.221552483346721e-09	1.1101426712567482e-10	0.16235294640893225	0.2976470632533635	0.008713453102475847	0.014612632126113958	0.0024295764869482163	0.0068329285526456856	0.004074447514511025	0.04999999266936641	day18
1.1474747474747475e-05	2.2203833789566265e-09	1.109801854719506e-10	0.16235294643569967	0.29764706322539286	0.00871345309092446	0.014612632136627567	0.0024295764805443514	0.006832928562578337	0.004074447512102721	0.04999999266936641	day18
1.1636363636363635e-05	2.2195307435934956e-09	1.1095532950050198e-10	0.16235294646258205	0.297647063197633	0.008713453079347353	0.014612632147100608	0.002429576474115886	0.006832928572445915	0.004074447509654387	0.04999999266936641	day18
1.1797979797979798e-05	2.2189067075527094e-09	1.1093713763949225e-10	0.16235294648954746	0.29764706317002537	0.008713453067751665	0.014612632157544343	0.002429576467669651	0.006832928582266488	0.004074447507177139	0.04999999266936641	day18
1.195959595959596e-05	2.218347393562116e-09	1.1092083255111708e-10	0.16235294651653637	0.2976470631424608	0.008713453056150719	0.014612632167979782	0.0024295764612183844	0.006832928592073752	0.004074447504691704	0.0499999926693664	day18
1.212121212121212e-05	2.2181747741092405e-09	1.109158003520943e-10	0.16235294654366575	0.2976470631151538	0.008713453044518347	0.014612632178365649	0.0024295764547370585	0.006832928601801503	0.004074447502157358	0.049999992669366417	day18
1.2282828282828282e-05	2.2179936918055936e-09	1.109105214490974e-10	0.16235294657079205	0.29764706308784117	0.008713453032886662	0.0146126321887526	0.0024295764482563905	0.006832928611530994	0.004074447499624083	0.04999999266936641	day18
1.2444444444444445e-05	2.2179761625999193e-09	1.1091001043983354e-10	0.16235294659797775	0.29764706306063743	0.008713453021241683	0.014612632199118587	0.002429576441763009	0.006832928621226855	0.00407444749707012	0.04999999266936641	day18
1.2606060606060605e-05	2.218075943100851e-09	1.1091291923756813e-10	0.16235294662520608	0.29764706303351185	0.008713453009587173	0.014612632209469532	0.0024295764352605088	0.006832928630898594	0.004074447494501318	0.04999999266936641	day18
1.2767676767676767e-05	2.2181891818538295e-09	1.1091622036404735e-10	0.16235294665243927	0.29764706300639515	0.008713452997931569	0.014612632219818754	0.002429576428756962	0.006832928640567565	0.004074447491930814	0.0499999926693664	day18
1.2929292929292928e-05	2.2182911261255953e-09	1.1091919222786507e-10	0.16235294667966838	0.29764706297927096	0.008713452986276883	0.014612632230169424	0.002429576422254294	0.006832928650238859	0.004074447489361739	0.0499999926693664	day18
1.309090909090909e-05	2.2184003716729938e-09	1.1092237694116892e-10	0.16235294670690012	0.29764706295215165	0.008713452974621604	0.014612632240519157	0.0024295764157510583	0.0068329286599086506	0.00407444748679174	0.04999999266936641	day18
1.3252525252525252e-05	2.218471837114993e-09	1.109244602934588e-10	0.16235294673411815	0.2976470629250072	0.008713452962969395	0.014612632250873734	0.0024295764092507593	0.0068329286695862105	0.004074447484226521	0.04999999266936641	day18
1.3414141414141413e-05	2.2185529546101353e-09	1.10926825020885e-10	0.16235294676133966	0.2976470628978692	0.008713452951316402	0.01461263226122707	0.002429576402749711	0.006832928679261786	0.004074447481660081	0.04999999266936641	day18
1.3575757575757575e-05	2.218698967303714e-09	1.1093108156353567e-10	0.16235294678858478	0.29764706287077436	0.008713452939658136	0.01461263227157209	0.0024295763962436175	0.006832928688924017	0.004074447479085431	0.0499999926693664	day18
1.3737373737373737e-05	2.2188396159162272e-09	1.1093518173344242e-10	0.16235294681582793	0.2976470628436759	0.008713452928000307	0.014612632281917797	0.0024295763897379413	0.006832928698587351	0.004074447476511461	0.04999999266936641	day18
1.3898989898989898e-05	2.2189542696057507e-09	1.1093852410356166e-10	0.16235294684306162	0.2976470628165602	0.008713452916344589	0.014612632292266834	0.002429576383234286	0.00683292870825603	0.004074447473940778	0.0499999926693664	day18
