time	inactive	active	F	W	F_bound	vWA_bound	IF_IFclustered	IW_IWclustered	IF_IWclustered	Sum	Experiment
1.212121212121212e-05	1.5329258371039752e-06	6.39447146098012e-08	0.1300123358321607	0.329989264339291	0.021205214871236867	6.39419428296231e-06	0.014389055223408302	1.308328936057002e-09	4.338849768222297e-06	0.049999996699082457	day18
1.2282828282828282e-05	1.3408589330362206e-06	5.594026051859922e-08	0.13001213581185117	0.3299892642882423	0.021205261856691898	6.394216065374236e-06	0.01438913172621312	1.3083396169030825e-09	4.3388790130815185e-06	0.04999999669908246	day18
1.2444444444444445e-05	1.1729696361203896e-06	4.894341309325668e-08	0.13001196097036477	0.3299892642435843	0.02120530292751009	6.39423512683711e-06	0.014389198598758311	1.308348961875032e-09	4.338904590888742e-06	0.049999996699082457	day18
1.2606060606060605e-05	1.0262143939120053e-06	4.282733247330829e-08	0.1300118081381137	0.3299892642045126	0.021205338828242316	6.3942518098677e-06	0.014389257053331553	1.3083571391294932e-09	4.33892696325338e-06	0.049999996699082457	day18
1.2767676767676767e-05	8.979327963695088e-07	3.7481146044789544e-08	0.13001167454451845	0.3299892641703238	0.021205370209716943	6.394266413865825e-06	0.014389308149606645	1.3083642956563922e-09	4.338946533676705e-06	0.049999996699082457	day18
1.2929292929292928e-05	7.857993408491322e-07	3.280793831801428e-08	0.1300115577677756	0.32998926414040347	0.02120539764084488	6.394279200545421e-06	0.01438935281385351	1.3083705599414231e-09	4.338963654863485e-06	0.04999999669908246	day18
1.309090909090909e-05	6.877812701208282e-07	2.8722993878916458e-08	0.1300114556909498	0.3299892641142141	0.02120542161890828	6.394290398673831e-06	0.014389391855744588	1.3083760442972162e-09	4.33897863512121e-06	0.049999996699082457	day18
1.3252525252525252e-05	6.021017187707298e-07	2.51522615526546e-08	0.1300113664635941	0.3299892640912861	0.021205442578582465	6.394300208218446e-06	0.014389425983030934	1.3083808468999453e-09	4.3389917439497455e-06	0.04999999669908247	day18
1.3414141414141413e-05	5.272074994574073e-07	2.2031011922343266e-08	0.13001128846820229	0.329989264071209	0.02120546089983053	6.394308803975019e-06	0.014389455814366313	1.3083850535675631e-09	4.339003216923631e-06	0.049999996699082457	day18
1.3575757575757575e-05	4.617409454431452e-07	1.9302663885025865e-08	0.1300112202908854	0.3299892640536238	0.02120547691478488	6.394316338736431e-06	0.014389481890526058	1.3083887393149473e-09	4.339013259962385e-06	0.04999999669908246	day18
